Time,KS_X,KS_Y,Gierwinkel,Geschw_X,Geschw_Y,Giergeschwindigkeit
0,0,0,0,30,0,0
0.004,0.132162714369868,0,0,29.9999521776338,0,0
0.008,0.226399708365824,0,0,29.9998646502467,0,0
0.012,0.356621007759126,0,0,29.9996832452909,0,0
0.016,0.455429518916685,0,0,29.9995090608596,0,0
0.02,0.606562156749753,0,0,29.9992030584009,0,0
0.024,0.757693188099789,0,0,29.9988769095593,0,0
0.028,0.870934829145227,0,0,29.9986365566446,0,0
0.032,0.984175590773055,0,0,29.998412145866,0,0
0.036,1.09741554804133,0,0,29.9982130486518,0,0
0.04,1.21065481057817,0,0,29.9980459489722,0,0
0.044,1.32389350979233,0,0,29.9979153621823,0,0
0.048,1.43713179205331,0,0,29.9978244487014,0,0
0.052,1.55036981067634,0,0,29.9977740716169,0,0
0.056,1.66360771273469,0,0,29.997762730168,0,0
0.06,1.76735188692592,0,0,29.9977838969282,0,0
0.064,1.87109618259259,0,0,29.9978319346361,0,0
0.068,2.07858547119738,0,0,29.9979916647911,0,0
0.072,2.2028277317023,0,0,29.998115206785,0,0
0.076,2.32707052794695,0,0,29.9982487920712,0,0
0.08,2.45131388905787,0,0,29.9983838192005,0,0
0.084,2.5755578009727,0,0,29.9985128765138,0,0
0.088,2.70242508629948,0,0,29.9986320131935,0,0
0.092,2.70242508629948,0,0,29.9986320131935,0,0
0.096,2.8292928364019,0,0,29.9987324248966,0,0
0.1,2.95616096435934,0,0,29.9988098846976,0,0
0.104,3.08302936912397,0,0,29.998862466942,0,0
0.108,3.18848997127483,0,0,29.9988870156464,0,0
0.112,3.39941128252045,0,0,29.9988858621901,0,0
0.116,3.50487188031229,0,0,29.9988629504749,0,0
0.12,3.62711554075909,0,0,29.9988212625702,0,0
0.124,3.74935900392245,0,0,29.998767044731,0,0
0.128,3.87160222427215,0,0,29.9987044569596,0,0
0.132,3.99384517898768,0,0,29.9986376062895,0,0
0.136,4.10142088888002,0,0,29.9985783841717,0,0
0.14,4.20899639002742,0,0,29.9985214959715,0,0
0.144,4.31657169421125,0,0,29.9984691906238,0,0
0.148,4.42414682136425,0,0,29.9984232088132,0,0
0.152,4.53172179704821,0,0,29.9983848658293,0,0
0.156,4.63929665089272,0,0,29.9983552007948,0,0
0.16,4.74687141526805,0,0,29.9983347686408,0,0
0.164,4.96060481200785,0,0,29.9983213230284,0,0
0.168,5.06676350786867,0,0,29.9983271192623,0,0
0.172,5.17292223809206,0,0,29.9983400941237,0,0
0.176,5.27908102530815,0,0,29.9983591221981,0,0
0.18,5.41348221216507,0,0,29.9983899415524,0,0
0.184,5.54788354925468,0,0,29.9984256045993,0,0
0.188,5.68228505427194,0,0,29.9984632634919,0,0
0.192,5.81668672823355,0,0,29.998500362108,0,0
0.196,5.9198772133663,0,0,29.9985270389524,0,0
0.2,6.02306778593136,0,0,29.9985511222438,0,0
0.204,6.12625843583136,0,0,29.9985718776296,0,0
0.208,6.22944915077997,0,0,29.9985888054585,0,0
0.212,6.33263991706383,0,0,29.9986015967452,0,0
0.216,6.43583071981335,0,0,29.9986100740965,0,0
0.22,6.6422123755067,0,0,29.9986143324199,0,0
0.224,6.75009747256752,0,0,29.9986104068827,0,0
0.228,6.85798254877121,0,0,29.9986028885543,0,0
0.232,6.96586759192964,0,0,29.9985923994376,0,0
0.236,7.07375259301381,0,0,29.9985796277313,0,0
0.24,7.22185262966249,0,0,29.9985596539577,0,0
0.244,7.36995256436929,0,0,29.9985386618793,0,0
0.248,7.36995256436929,0,0,29.9985386618793,0,0
0.252,7.51805239471536,0,0,29.9985184616836,0,0
0.256,7.66615212969209,0,0,29.9985004649404,0,0
0.26,7.76572725090081,0,0,29.9984901561287,0,0
0.264,7.9648774056521,0,0,29.9984750203756,0,0
0.268,8.06445245189388,0,0,29.9984704453553,0,0
0.272,8.16402748618049,0,0,29.9984678889845,0,0
0.276,8.26360251531105,0,0,29.998467291701,0,0
0.28,8.36317754568986,0,0,29.9984685252933,0,0
0.284,8.57510125203644,0,0,29.9984763342013,0,0
0.288,8.68744994241947,0,0,29.998482682282,0,0
0.292,8.79979865885765,0,0,29.9984900346521,0,0
0.296,8.91214740411073,0,0,29.998497980695,0,0
